conc
0
0.1585
0.317
0.4755
0.634
0.7925
0.951
1.1095
1.268
1.4265
1.585
1.7435
1.902
2.0605
2.219
2.3775
2.536
2.6945
2.853
3.0115
3.17
3.3285
3.487
3.6455
3.804
3.9625
4.121
4.2795
4.438
4.5965
4.755
4.9135
5.072
5.2305
5.389
5.5475
5.706
5.8645
6.023
6.1815
6.34
6.4985
6.657
6.8155
6.974
7.1325
7.291
7.4495
7.608
7.7665
7.925
8.0835
8.242
8.4005
8.559
8.7175
8.876
9.0345
9.193
9.3515
9.51
9.6685
9.827
9.9855
10.144
10.3025
10.461
10.6195
10.778
10.9365
11.095
11.2535
11.412
11.5705
11.729
11.8875
12.046
12.2045
12.363
12.5215
12.68
12.8385
12.997
13.1555
13.314
13.4725
13.631
13.7895
13.948
14.1065
14.265
14.4235
14.582
14.7405
14.899
15.0575
15.216
15.3745
15.533
15.6915
15.85
