time,c1,c5,c10,c15,c20,c25,c30,c35,c40,c45,c50,c55,c60,c65,c70,c75,c80,c85,c90,c95
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018686099
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010703336,0.48430972
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000984051,0.006587715,0.020465943,0.05235753,0.105102198,0.41591963,2.034157472
20,0,0,0,0,0,0,0,0,0,0,0.002300194,0.012127314,0.037978326,0.085348789,0.21031431,0.356672489,0.531208733,0.900040699,1.47757844,3.51484132
24,0,0,0,0,0,0.00206443,0.003386499,0.006885243,0.01196453,0.041646065,0.084127032,0.128150554,0.233351428,0.462634,0.678748463,0.996305692,1.320239006,1.881081544,2.858660804,4.442271421
28,0,0,0,0,0.002391262,0.011622616,0.022382917,0.036700302,0.081226502,0.195256749,0.286230198,0.457828996,0.925587159,1.400283502,1.701825918,2.063750308,2.583993529,3.127944431,4.312253077,5.143859653
32,0,0,0,0.002691154,0.012386929,0.029899156,0.074587953,0.203547224,0.359187118,0.548595492,0.796497441,1.142344738,1.52561538,2.410071272,3.036881264,3.537193706,4.09293588,4.774526189,5.620152068,6.483922109
36,0,0,0.003209761,0.022459471,0.057308669,0.129847512,0.243988783,0.543397725,0.716013362,0.937907246,1.53764979,1.85009081,2.463053142,3.295428511,4.137571919,4.856791348,5.391511899,5.883521739,6.759645889,8.114993353
40,0,0.001160331,0.020098837,0.065418056,0.136189213,0.312046732,0.582099314,1.045665854,1.288545024,1.819596373,2.244734674,2.889470866,3.347569547,4.1456014,5.096208985,5.920693521,6.492759883,6.903191317,8.304607507,9.469120624
44,0,0.002519256,0.051188286,0.140904843,0.20580162,0.645499996,1.145103105,1.45182591,2.073196018,2.45445968,3.055123414,3.613134218,4.282429697,5.115046595,5.940433533,6.954738932,7.706626744,8.138956641,9.406190633,10.34403241
48,0.000619647,0.025815608,0.133837745,0.237304771,0.390072028,1.015336381,1.815975337,2.055410462,2.908164437,3.350276592,3.69314084,4.647806534,5.418160612,5.884258605,6.783267742,8.062093467,8.951847954,9.559893975,10.42559849,11.1624561
52,0.002736642,0.106280825,0.245107467,0.486149333,0.669186846,1.206795354,2.16008801,2.890097335,3.399035338,3.988972647,4.437818279,5.748218932,6.180668591,6.531964936,7.519416874,9.053408471,9.915394394,10.67621119,11.21826897,11.98003236
56,0.004730167,0.163981553,0.47712376,0.855024483,1.080033405,1.50602391,2.679284804,3.615107661,4.079241284,4.741921971,5.454715354,6.256324353,6.973176853,7.433468806,8.075516364,9.541283539,10.58841466,11.35658169,11.71721954,12.43846306
60,0.04218971,0.216782534,0.728322952,1.254585274,1.481035504,2.129858817,3.167132786,4.137331876,4.647242138,5.502641735,6.321572855,6.897819545,7.489557672,8.330926716,8.95417609,9.997759124,11.12053665,11.83116717,12.20716195,12.91371202
64,0.056664776,0.267613744,0.988209606,1.587557932,1.911168871,2.756296915,3.748396124,4.69059899,5.599379132,6.001492717,6.816284569,7.531607999,8.042294037,8.931277161,9.71565884,10.37562125,11.32155949,12.14426416,12.60149571,13.29740629
68,0.057736633,0.506954438,1.424834481,1.890984979,2.278815349,3.402749815,4.155009632,4.939634329,6.373576489,6.857010815,7.710660855,8.076179418,8.631950588,9.411245352,10.22813731,10.90394952,11.46663392,12.35982736,12.9323098,13.51244592
72,0.058361727,0.65444445,1.625445189,2.236540165,2.802692511,3.77839005,4.576121873,5.552404095,6.706622783,7.305539019,8.105829766,8.668101263,9.364903356,9.944664142,10.70629276,11.23436812,11.78984494,12.53191671,13.12746778,13.70361194
76,0.058361727,0.696261742,1.793491861,2.676888352,3.293251558,4.158021719,4.853466866,5.971793999,7.255792302,7.808410778,8.555412449,8.970081579,9.797325327,10.51514218,10.92226822,11.37737364,12.00956224,12.60388659,13.27740711,14.01263562
80,0.058361727,0.738221029,2.147181711,3.121978342,3.878463087,4.442162463,5.109234039,6.378869144,7.583845612,8.257845564,8.906341605,9.723704507,10.07949735,10.74117641,11.35404157,11.70183239,12.15651859,12.73361078,13.37144192,14.15470948
84,0.058361727,0.761562395,2.416361226,3.532577578,4.179962676,4.864033843,5.380208076,6.606592441,7.885197542,8.594643696,9.188230584,10.08026298,10.55887295,11.14117251,11.54031257,12.05595903,12.505973,12.94784725,13.44853833,14.24713812
88,0.058361727,0.787150773,2.586950797,4.05371434,4.648981356,5.207343551,5.792662717,7.039645887,8.189144873,8.915117003,9.404774474,10.28774641,10.82904383,11.27154961,11.6847553,12.13094418,12.66541659,13.20867025,13.45430874,14.51958605
92,0.058361727,0.797715278,2.662316366,4.353517345,4.997063217,5.548191091,5.991246863,7.620631344,8.502342176,9.24608839,9.85372079,10.36695677,11.06914623,11.40879329,11.79202064,12.3383934,12.77840987,13.30360115,13.53654269,14.54187804
96,0.058361727,0.810917169,2.816703271,4.729425761,5.287050433,5.965433203,6.380185074,7.76318682,8.904528191,9.507701083,10.08900079,10.6278099,11.28222786,11.56583863,12.02300057,12.50395827,12.90247151,13.41431625,13.67978193,14.55525079
100,0.058361727,0.837557442,3.003504157,5.06981521,5.564570466,6.19779564,6.800354352,7.76318682,9.031011336,9.646753777,10.29265803,10.79303217,11.37456878,11.69122072,12.10452332,12.52636205,13.12128357,13.43861112,13.80288075,14.70678669
104,0.058361727,0.844544317,3.0891752,5.368947191,5.859790787,6.6204704,7.172593695,8.22987713,9.266032223,9.705735739,10.46790551,10.95375852,11.46796008,11.85918058,12.12946754,12.52779415,13.23442281,13.49515426,13.81538737,14.92177612
108,0.058361727,0.857096248,3.157100925,5.612577049,6.03830233,6.620609803,7.555632279,8.352970582,9.452111157,9.866934648,10.62960348,11.24622709,11.57330851,11.93106731,12.28960163,12.60371185,13.2638411,13.51101928,13.8294228,14.98021619
112,0.058361727,0.896565727,3.219552293,5.739259107,6.202989357,6.904339168,7.849243426,8.412639064,9.569882329,9.995158183,10.7994503,11.31142562,11.61789338,12.0356154,12.3974299,12.64441754,13.28101964,13.57720715,13.87701073,15.01035458
