time,c1,c5,c10,c15,c20,c25,c30,c35,c40,c45,c50,c55,c60,c65,c70,c75,c80,c85,c90,c95
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006468284,0.208497489
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000308287,0.022700975,0.091830563,0.96616891
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002635192,0.028317383,0.186162941,0.999379774,2.527182245
36,0,0,0,0,0,0,0,0,0,0,0,0,0.001025626,0.003015983,0.033471975,0.108897597,0.193564336,0.546601164,2.255762731,4.14317559
40,0,0,0,0,0,0,0,0,0,0,0.001913306,0.004060011,0.018592219,0.087853217,0.240106808,0.346390805,0.606768184,1.050969172,3.271833704,5.533874133
44,0,0,0,0,0,0,0,0,0.000998867,0.003786466,0.016219152,0.057042906,0.204075353,0.441147133,0.602272121,0.848520681,1.072835925,2.220923118,4.136354944,6.676436225
48,0,0,0,0,0,0,0.002694696,0.007359625,0.021268291,0.038086159,0.134590172,0.270674157,0.532356848,0.803509457,1.322035532,1.577747924,1.800445171,3.490574611,5.297157589,7.87030856
52,0,0,0,0,0.002666525,0.007517383,0.028603247,0.064008859,0.11193687,0.173021082,0.336426333,0.759013412,1.043515495,1.476539546,2.040936552,2.598702199,3.386783105,4.611271534,6.389286106,8.226379231
56,0,0,0,0.001256355,0.016523418,0.047402711,0.100381017,0.158272365,0.334915752,0.451318704,0.827326055,1.215572492,1.702001198,2.151482064,3.008810357,3.653593941,4.263527598,5.758023659,7.580588591,9.160567661
60,0,0,0.002908185,0.018269028,0.070782435,0.161856024,0.24448986,0.41353688,0.65172955,0.889134527,1.278171336,1.753171735,2.674867903,3.209676176,4.041260439,4.689764563,5.412366212,7.342002999,8.502748693,9.499305603
64,0,0,0.016255949,0.099517874,0.16004396,0.360722478,0.573499722,0.874866201,1.337564317,1.572003002,1.948318438,2.295590798,3.357119729,4.308374498,4.906819674,5.700353042,6.300058553,8.218594501,9.250087249,9.756526825
68,0,0.008585731,0.048402879,0.226469457,0.38605851,0.83311054,0.981084582,1.360617907,2.125858487,2.395402617,2.767907291,3.490883153,4.100741937,5.035793702,5.729782376,6.377026933,7.385553543,8.947182387,9.740958314,10.37442308
72,0,0.030585773,0.148657536,0.468226223,0.611165707,1.092559094,1.672510015,2.164936149,2.765069908,3.235572198,3.738848644,4.255822601,4.859360735,5.866365443,6.312556023,7.021536065,8.12030322,9.439367236,10.19114985,11.10192861
76,0,0.034918494,0.337121528,0.696016021,0.932995143,1.459275171,2.366758501,2.718171323,3.395643344,4.256047564,4.795932633,5.024780017,5.772993853,6.462718059,7.198962791,7.778943659,8.757763741,9.775365315,10.59965811,11.52065961
80,0,0.052429722,0.562665432,0.989107806,1.369217646,1.90138056,2.837350119,3.422080212,4.073615047,5.137223341,5.748032182,6.027787961,6.517953043,7.061075915,8.028093069,8.650069983,9.404771393,10.2560508,10.80557807,11.75935267
84,0.00687248,0.155070505,0.862041542,1.18944972,1.805784114,2.684487372,3.47751389,4.04930894,4.850570023,5.503012469,6.264919998,6.854031647,7.355113059,8.043406901,8.573265679,9.146703214,9.870315131,10.56312111,11.0301529,11.99137124
88,0.033373108,0.29809883,1.045722665,1.506907394,2.220963159,3.321802473,3.916038176,4.708788424,5.323216435,6.340824177,6.790142322,7.47076708,8.116973222,8.64929811,8.997834733,9.665328954,10.30598953,10.86938737,11.51923303,12.15813681
92,0.046370764,0.331310289,1.144952599,2.041471286,2.633671469,4.02979256,4.368278032,5.135297508,5.783920691,6.807487057,7.291334355,7.945767708,8.781212304,8.971622844,9.434241563,10.07696803,10.57945454,11.16475938,11.84031938,12.41819147
96,0.11577161,0.363233599,1.539709977,2.278892047,2.977138224,4.475016956,4.866503682,5.622108716,6.39128925,7.143020052,7.779331161,8.635867708,8.985670843,9.363318405,9.719081701,10.40677175,10.83885492,11.57668337,11.99528281,12.48947973
100,0.139410705,0.432364894,1.832084251,2.470229377,3.310100762,4.720769597,5.260936848,6.056057268,6.870086724,7.481947576,8.130797287,9.039632682,9.363845583,9.611447845,10.17847437,10.65036316,10.87776441,11.89664552,12.38994196,12.97066765
104,0.201226534,0.664660659,2.257802825,2.850896973,3.93510551,4.785329518,5.64826695,6.242754307,7.23041907,8.015404789,8.436797131,9.351244186,9.644512796,10.05405525,10.59206368,10.88257697,11.10353291,12.00918759,12.51376454,13.07801289
108,0.295585034,0.963073157,2.502762486,3.181053053,4.479786801,5.439076804,6.100674531,6.559595207,7.519487855,8.387345145,8.849232185,9.420729301,9.756899571,10.43489051,10.84656885,11.1400634,11.50553282,12.05508108,12.64189128,13.34580239
112,0.329886142,1.081660081,2.663350035,3.296372926,4.681825772,5.840192535,6.445539141,6.971545739,7.722378237,8.590984553,9.012720697,9.444706371,9.978023869,10.65067676,10.9919265,11.42165156,11.78457603,12.25397204,12.77002544,13.599471
116,0.343062693,1.360867978,2.75840255,3.416260806,4.882595095,6.168716261,6.667639305,7.327864679,7.932192916,8.83712936,9.098326697,9.672260043,10.08823082,10.80608651,11.09815325,11.62067344,12.04696597,12.56140649,12.84900466,13.68203573
120,0.358319391,1.416725457,2.875643859,3.613663145,5.238733295,6.399829216,7.163632494,7.783561211,8.251059681,8.940362606,9.280971948,9.893221882,10.24613286,10.89918577,11.18187023,11.78203914,12.24443617,12.70570638,13.20921011,13.80100746
124,0.393908649,1.48528911,3.104446787,4.200940172,5.382728775,6.554636538,7.432718376,8.019723337,8.434422723,9.115041964,9.443625674,9.989462759,10.44901279,10.98932251,11.25494048,12.00042583,12.50110898,12.77830754,13.30159055,14.01844041
